지점,지점명,일시,기온(°C),기온 QC플래그,강수량(mm),강수량 QC플래그,풍속(m/s),풍속 QC플래그,풍향(16방위),풍향 QC플래그,습도(%),습도 QC플래그,증기압(hPa),이슬점온도(°C),현지기압(hPa),현지기압 QC플래그,해면기압(hPa),해면기압 QC플래그,전운량(10분위),중하층운량(10분위),지면온도(°C),지면온도 QC플래그
108,서울,2022-01-05 00:00,-5.6,,,9,1.3,,360,,45,,1.8,-15.6,1018.5,,1029.7,,0,0,-5.7,
108,서울,2022-01-05 01:00,-6,,,,1.3,,360,,48,,1.9,-15.2,1018.1,,1029.3,,6,0,-6.1,
108,서울,2022-01-05 02:00,-6.6,,,,2.2,,50,,49,,1.8,-15.5,1018.2,,1029.4,,0,0,-6.2,
108,서울,2022-01-05 03:00,-7,,,,1,,50,,52,,1.9,-15.2,1018.5,,1029.7,,0,0,-6.7,
108,서울,2022-01-05 04:00,-7.2,,,,1.9,,50,,52,,1.8,-15.4,1018,,1029.2,,0,0,-6.8,
108,서울,2022-01-05 05:00,-7.3,,,,1.8,,20,,54,,1.9,-15,1017.8,,1029,,0,0,-6.7,
108,서울,2022-01-05 06:00,-7.6,,,,2.4,,20,,55,,1.9,-15,1018.1,,1029.3,,6,0,-6.9,
108,서울,2022-01-05 07:00,-7.7,,,,2.3,,50,,57,,2,-14.7,1017.9,,1029.1,,7,0,-6.7,
108,서울,2022-01-05 08:00,-7.5,,,,2.6,,20,,58,,2,-14.3,1018.2,,1029.4,,7,0,-6.2,
108,서울,2022-01-05 09:00,-6.4,,,,.9,,50,,56,,2.1,-13.7,1018,,1029.2,,7,0,-4.5,
108,서울,2022-01-05 10:00,-4.4,,,,1.3,,70,,50,,2.2,-13.2,1018.3,,1029.4,,8,0,-2.5,
108,서울,2022-01-05 11:00,-2.4,,,,1.5,,90,,46,,2.4,-12.4,1018.3,,1029.3,,10,0,-.3,
108,서울,2022-01-05 12:00,-.6,,,,2.3,,50,,41,,2.4,-12.2,1017.4,,1028.3,,10,0,1,
108,서울,2022-01-05 13:00,.5,,,,2,,50,,37,,2.3,-12.5,1016.1,,1027,,10,0,1.5,
108,서울,2022-01-05 14:00,1.3,,,,2.3,,50,,35,,2.3,-12.5,1015.7,,1026.5,,10,0,2.8,
108,서울,2022-01-05 15:00,1.7,,,,1.5,,70,,36,,2.5,-11.8,1015.4,,1026.2,,10,0,1.7,
108,서울,2022-01-05 16:00,1.8,,,,1.3,,50,,36,,2.5,-11.7,1015.1,,1025.9,,10,0,.5,
108,서울,2022-01-05 17:00,1.4,,,,1.2,,320,,38,,2.6,-11.4,1015.6,,1026.4,,10,0,-.1,
108,서울,2022-01-05 18:00,.7,,,,2,,270,,42,,2.7,-10.7,1015.7,,1026.6,,10,0,-.3,
108,서울,2022-01-05 19:00,.1,,,,1.3,,270,,42,,2.6,-11.3,1016,,1026.9,,10,9,-.7,
108,서울,2022-01-05 20:00,-.6,,,,1.6,,270,,44,,2.6,-11.3,1016,,1026.9,,9,9,-1.2,
108,서울,2022-01-05 21:00,-1,,,,2,,270,,46,,2.6,-11.1,1016.3,,1027.2,,8,8,-1.8,
108,서울,2022-01-05 22:00,-1.3,,,,2.2,,270,,46,,2.6,-11.4,1016.6,,1027.6,,7,7,-2.6,
108,서울,2022-01-05 23:00,-1.9,,,,1.2,,270,,48,,2.6,-11.4,1016.4,,1027.4,,8,8,-3.1,
108,서울,2022-01-06 00:00,-2.5,,,,1.7,,270,,53,,2.7,-10.7,1016.1,,1027.1,,7,0,-3.6,
108,서울,2022-01-06 01:00,-3.1,,,,1.5,,270,,53,,2.6,-11.3,1015.9,,1026.9,,0,0,-4.3,
108,서울,2022-01-06 02:00,-3.7,,,,.9,,270,,55,,2.6,-11.4,1015.7,,1026.8,,0,0,-4.8,
108,서울,2022-01-06 03:00,-4.5,,,,1.6,,270,,59,,2.6,-11.3,1016.3,,1027.4,,0,0,-5.3,
108,서울,2022-01-06 04:00,-4.8,,,,2.1,,250,,62,,2.7,-10.9,1016.3,,1027.4,,0,0,-5.4,
108,서울,2022-01-06 05:00,-4.6,,,,2.8,,250,,62,,2.7,-10.7,1016.3,,1027.4,,0,0,-5.4,
108,서울,2022-01-06 06:00,-5.4,,,,2.2,,270,,60,,2.5,-11.9,1016.8,,1027.9,,0,0,-5.7,
108,서울,2022-01-06 07:00,-5.5,,,,1.5,,270,,60,,2.4,-12,1017.6,,1028.7,,0,0,-5.9,
108,서울,2022-01-06 08:00,-5.9,,,,2.5,,250,,62,,2.4,-12,1018.1,,1029.3,,0,0,-6,
108,서울,2022-01-06 09:00,-5.1,,,,2.3,,270,,62,,2.6,-11.2,1018.6,,1029.7,,0,0,-5,
108,서울,2022-01-06 10:00,-3,,,,2,,270,,53,,2.6,-11.2,1019.2,,1030.3,,0,0,-1.7,
108,서울,2022-01-06 11:00,-1.1,,,,2.7,,270,,41,,2.3,-12.7,1019.1,,1030.1,,0,0,1,
108,서울,2022-01-06 12:00,.3,,,,3.4,,270,,35,,2.2,-13.4,1018.3,,1029.2,,0,0,5.6,
108,서울,2022-01-06 13:00,1.7,,,,4.2,,270,,33,,2.3,-12.8,1017.4,,1028.2,,0,0,7.3,
108,서울,2022-01-06 14:00,2.8,,,,4.2,,270,,31,,2.3,-12.6,1017.1,,1027.9,,0,0,6.7,
108,서울,2022-01-06 15:00,2.8,,,,2.6,,290,,31,,2.3,-12.6,1016.9,,1027.7,,0,0,4.1,
108,서울,2022-01-06 16:00,3.1,,,,1.6,,270,,31,,2.4,-12.4,1017,,1027.8,,0,0,.4,
108,서울,2022-01-06 17:00,2,,,,2.2,,250,,33,,2.3,-12.6,1017.5,,1028.3,,0,0,-.4,
108,서울,2022-01-06 18:00,.7,,,,2.2,,250,,35,,2.3,-13,1018.1,,1029,,0,0,-1.2,
108,서울,2022-01-06 19:00,0,,,,3.2,,290,,37,,2.3,-12.9,1018.7,,1029.6,,0,0,-1.8,
108,서울,2022-01-06 20:00,-1.2,,,,1.8,,250,,41,,2.3,-12.8,1018.9,,1029.9,,0,0,-2.5,
108,서울,2022-01-06 21:00,-1.9,,,,1.8,,250,,43,,2.3,-12.8,1019.2,,1030.2,,0,0,-2.9,
108,서울,2022-01-06 22:00,-2.7,,,,1.7,,270,,47,,2.4,-12.4,1019.5,,1030.5,,0,0,-3.6,
108,서울,2022-01-06 23:00,-3.4,,,,1.6,,270,,50,,2.4,-12.3,1019.6,,1030.7,,0,0,-4.1,
108,서울,2022-01-07 00:00,-4.2,,,,1.3,,270,,52,,2.3,-12.6,1019.6,,1030.7,,0,0,-4.8,
108,서울,2022-01-07 01:00,-4.5,,,,.9,,290,,54,,2.4,-12.4,1019.6,,1030.7,,0,0,-5.3,
108,서울,2022-01-07 02:00,-4.8,,,,1.1,,340,,57,,2.4,-12,1019.8,,1030.9,,0,0,-5.7,
108,서울,2022-01-07 03:00,-5,,,,1.2,,340,,56,,2.4,-12.4,1020,,1031.2,,0,0,-5.9,
108,서울,2022-01-07 04:00,-5.3,,,,.6,,340,,58,,2.4,-12.2,1019.9,,1031.1,,0,0,-6.1,
108,서울,2022-01-07 05:00,-5.4,,,,1.4,,360,,57,,2.3,-12.5,1019.9,,1031.1,,0,0,-6.3,
108,서울,2022-01-07 06:00,-5.7,,,,1.6,,340,,59,,2.4,-12.4,1020,,1031.2,,0,0,-6.5,
108,서울,2022-01-07 07:00,-5.8,,,,1.3,,340,,62,,2.5,-11.9,1020.3,,1031.5,,0,0,-6.7,
108,서울,2022-01-07 08:00,-5.8,,,,1.3,,340,,64,,2.5,-11.5,1020.4,,1031.6,,0,0,-6.7,
108,서울,2022-01-07 09:00,-5.3,,,,1.5,,50,,63,,2.6,-11.2,1020.7,,1031.9,,0,0,-5.6,
108,서울,2022-01-07 10:00,-3,,,,1.1,,70,,59,,2.9,-9.9,1020.8,,1031.9,,0,0,-1.8,
108,서울,2022-01-07 11:00,.3,,,,.8,,200,,48,,3,-9.4,1020.4,,1031.3,,0,0,1.2,
108,서울,2022-01-07 12:00,1.9,,,,2.4,,200,,37,,2.6,-11.2,1019.4,,1030.3,,0,0,5.2,
108,서울,2022-01-07 13:00,2.5,,,,1.7,,270,,32,,2.3,-12.5,1018.7,,1029.5,,0,0,8.1,
108,서울,2022-01-07 14:00,3.7,,,,2.4,,230,,24,,1.9,-15,1018.1,,1028.9,,0,0,7.9,
108,서울,2022-01-07 15:00,4.2,,,,2.1,,250,,24,,2,-14.6,1017.7,,1028.4,,0,0,4.9,
108,서울,2022-01-07 16:00,4.4,,,,2.4,,250,,21,,1.8,-16,1017.6,,1028.3,,0,0,.6,
108,서울,2022-01-07 17:00,2.8,,,,2.3,,270,,25,,1.9,-15.3,1017.5,,1028.3,,0,0,-.3,
108,서울,2022-01-07 18:00,1.4,,,,2.1,,270,,33,,2.2,-13.1,1017.6,,1028.5,,0,0,-1,
108,서울,2022-01-07 19:00,.3,,,,1.8,,250,,41,,2.6,-11.4,1017.9,,1028.8,,0,0,-1.5,
108,서울,2022-01-07 20:00,-.5,,,,1.8,,250,,46,,2.7,-10.7,1018.1,,1029,,0,0,-2,
108,서울,2022-01-07 21:00,-1.3,,,,2.1,,270,,50,,2.8,-10.4,1018,,1029,,0,0,-2.6,
108,서울,2022-01-07 22:00,-1.9,,,,1.8,,250,,53,,2.8,-10.2,1017.7,,1028.7,,0,0,-3,
108,서울,2022-01-07 23:00,-2.2,,,,1,,270,,55,,2.9,-10,1017.5,,1028.5,,0,0,-3.7,
108,서울,2022-01-08 00:00,-2.8,,,,.7,,250,,55,,2.7,-10.6,1017.2,,1028.2,,0,0,-4.3,
108,서울,2022-01-08 01:00,-3.1,,,,.8,,270,,54,,2.6,-11.1,1016.8,,1027.8,,0,0,-4.8,
108,서울,2022-01-08 02:00,-3.3,,,,.1,,0,,53,,2.5,-11.5,1016.8,,1027.8,,0,0,-5.1,
108,서울,2022-01-08 03:00,-3.6,,,,.1,,0,,54,,2.5,-11.5,1017,,1028.1,,0,0,-5.4,
108,서울,2022-01-08 04:00,-3.9,,,,1.9,,20,,55,,2.5,-11.6,1016.4,,1027.5,,0,0,-5.5,
108,서울,2022-01-08 05:00,-4.3,,,,1.9,,20,,56,,2.5,-11.7,1015.8,,1026.9,,0,0,-5.7,
108,서울,2022-01-08 06:00,-4.7,,,,2.4,,20,,59,,2.5,-11.5,1015.7,,1026.8,,2,2,-5.8,
108,서울,2022-01-08 07:00,-4.9,,,,2,,20,,60,,2.6,-11.4,1015.5,,1026.6,,1,1,-5.7,
108,서울,2022-01-08 08:00,-4.9,,,,2.3,,20,,61,,2.6,-11.2,1015.6,,1026.7,,1,1,-5.4,
108,서울,2022-01-08 09:00,-4,,,,2.2,,50,,60,,2.7,-10.6,1015.4,,1026.5,,4,4,-3.8,
108,서울,2022-01-08 10:00,-2.4,,,,2.1,,50,,58,,3,-9.5,1015.5,,1026.5,,9,9,-1.3,
108,서울,2022-01-08 11:00,-.8,,,,2.3,,50,,53,,3,-9.2,1014.8,,1025.7,,9,9,0,
108,서울,2022-01-08 12:00,.6,,,,1.2,,50,,50,,3.2,-8.6,1013.9,,1024.8,,8,8,1.6,
108,서울,2022-01-08 13:00,2.3,,,,1.1,,160,,52,,3.8,-6.5,1012.9,,1023.7,,9,9,2,
108,서울,2022-01-08 14:00,3.1,,,,.6,,270,,53,,4.1,-5.5,1012.1,,1022.8,,9,9,2,
108,서울,2022-01-08 15:00,3.2,,0,,1.8,,270,,65,,5,-2.7,1012,,1022.7,,9,9,.9,
108,서울,2022-01-08 16:00,3.5,,,9,2.6,,200,,72,,5.7,-1,1011.8,,1022.5,,9,9,.7,
108,서울,2022-01-08 17:00,3.7,,,9,2.8,,200,,71,,5.7,-1,1011.6,,1022.3,,9,9,.2,
108,서울,2022-01-08 18:00,3.6,,,9,2.3,,250,,72,,5.7,-.9,1011.8,,1022.5,,6,6,-.3,
108,서울,2022-01-08 19:00,3.6,,,9,2.3,,230,,74,,5.8,-.6,1011.9,,1022.6,,8,8,-.1,
108,서울,2022-01-08 20:00,3.3,,,9,1.5,,250,,76,,5.9,-.5,1011.9,,1022.6,,8,8,-.3,
108,서울,2022-01-08 21:00,3.4,,,9,1.3,,250,,77,,6,-.2,1011.7,,1022.4,,9,9,-.1,
108,서울,2022-01-08 22:00,3.4,,,9,1,,250,,78,,6.1,0,1011.5,,1022.2,,9,9,-.1,
108,서울,2022-01-08 23:00,3.5,,,9,1.9,,250,,78,,6.1,0,1011.2,,1021.9,,9,9,0,
108,서울,2022-01-09 00:00,3.7,,,9,1.5,,250,,77,,6.1,0,1010.8,,1021.5,,9,9,.1,
108,서울,2022-01-09 01:00,3.7,,,,2.1,,250,,80,,6.3,.5,1010.5,,1021.2,,7,7,.1,
108,서울,2022-01-09 02:00,3.3,,,,2.2,,270,,82,,6.3,.5,1010.6,,1021.3,,7,7,0,
108,서울,2022-01-09 03:00,2.5,,,,1.3,,320,,83,,6.1,-.1,1010.9,,1021.6,,6,6,-.6,
108,서울,2022-01-09 04:00,1.4,,,,2,,270,,85,,5.8,-.8,1010.9,,1021.7,,3,1,-1,
108,서울,2022-01-09 05:00,.5,,,,2.6,,270,,86,,5.5,-1.5,1011,,1021.8,,3,1,-1.4,
108,서울,2022-01-09 06:00,-.1,,,,2.7,,250,,88,,5.4,-1.8,1011.2,,1022.1,,5,0,-1.8,
108,서울,2022-01-09 07:00,-.9,,,,1.5,,250,,88,,5,-2.6,1011.5,,1022.4,,4,0,-2.2,
108,서울,2022-01-09 08:00,-.6,,,,2,,250,,90,,5.3,-2,1011.9,,1022.8,,6,6,-1.3,
108,서울,2022-01-09 09:00,-.6,,,,1,,230,,88,,5.2,-2.3,1012.1,,1023,,6,6,-.9,
108,서울,2022-01-09 10:00,-.3,,,,1.4,,270,,89,,5.4,-1.8,1012.4,,1023.3,,7,7,-.3,
108,서울,2022-01-09 11:00,1,,,,1.2,,180,,85,,5.6,-1.2,1012.6,,1023.4,,7,7,2.1,
108,서울,2022-01-09 12:00,2.2,,,,2,,200,,75,,5.4,-1.7,1012.2,,1023,,8,8,3.5,
108,서울,2022-01-09 13:00,3.3,,,,1,,180,,66,,5.1,-2.4,1011.4,,1022.1,,5,5,5.4,
108,서울,2022-01-09 14:00,4.9,,,,1.8,,160,,58,,5,-2.6,1011,,1021.7,,3,3,7.2,
108,서울,2022-01-09 15:00,5.4,,,,1.7,,200,,52,,4.7,-3.6,1011,,1021.6,,0,0,4.9,
108,서울,2022-01-09 16:00,5.3,,,,1.6,,250,,47,,4.2,-5.1,1011,,1021.6,,0,0,1.8,
108,서울,2022-01-09 17:00,3.8,,,,2.1,,270,,50,,4,-5.6,1011.1,,1021.8,,1,0,-.2,
108,서울,2022-01-09 18:00,2.2,,,,1.1,,270,,53,,3.8,-6.4,1011.5,,1022.3,,0,0,-.6,
108,서울,2022-01-09 19:00,1.4,,,,1.3,,270,,57,,3.8,-6.2,1012,,1022.8,,0,0,-1,
108,서울,2022-01-09 20:00,.8,,,,1.6,,230,,61,,4,-5.8,1012.3,,1023.1,,0,0,-1.2,
108,서울,2022-01-09 21:00,.1,,,,1.4,,250,,62,,3.8,-6.3,1012.5,,1023.4,,0,0,-1.5,
